DAY_OF_WEEK,DEST_AIRPORT_ID,DAY_OF_WEEK,DISTANCE,DAY_OF,DEP_TIME,DAY
2,44,20363,300,1195302,601,11953
2,44,20363,596,1348702,1359,13487
2,44,20363,229,1143302,1215,11433
2,44,20363,223,1524906,1521,15249
2,44,20363,579,1039707,1847,10397
2,44,20363,574,1126702,853,11267
2,44,20363,341,1244807,1553,12448
2,44,20363,585,1295304,1551,12953
2,44,20363,833,1245102,1037,12451
2,44,20363,533,1039707,1245,10397
2,44,20363,533,1068502,1410,10685
2,44,20363,528,1087402,557,10874
2,44,20363,166,1143302,1552,11433
2,44,20363,574,1348702,2029,13487
2,44,20363,453,1410005,1312,14100
2,44,20363,288,1247805,1450,12478
2,44,20363,488,1143302,1353,11433
2,44,20363,143,1020803,1148,10208
2,44,20363,143,1039707,1020,10397
2,44,20363,229,1143302,817,11433
2,44,20363,453,1299206,1523,12992
2,44,20363,503,1233904,1111,12339
2,44,20363,399,1039707,2216,10397
2,44,20363,300,1039707,1554,10397
2,44,20363,300,1195302,1740,11953
2,44,20363,646,1039707,1101,10397
2,44,20363,646,1162402,1332,11624
2,8,20363,175,1348702,1349,13487
2,8,20363,192,1086803,807,10868
2,8,20363,363,1120302,834,11203
2,8,20363,143,1020803,1637,10208
2,8,20363,143,1039707,1516,10397
2,8,20363,192,1039707,1242,10397
2,8,20363,147,1039707,1957,10397
2,8,20363,227,1532305,1136,15323
2,8,20363,942,1072102,1739,10721
2,8,20363,841,1039707,2111,10397
2,8,20363,143,1039707,2230,10397
2,8,20363,147,1327702,653,13277
2,8,20363,371,1323002,1305,13230
2,8,20363,297,1334207,1518,13342
2,8,20363,207,1143302,1542,11433
2,8,20363,207,1538005,1755,15380
2,8,20363,579,1177801,1550,11778
2,8,20363,565,1039707,2009,10397
2,8,20363,134,1039707,854,10397
2,8,20363,134,1059904,931,10599
2,8,20363,399,1143302,1234,11433
2,8,20363,74,1143302,2036,11433
2,8,20363,152,1039707,2210,10397
2,8,20363,335,1295304,1755,12953
2,8,20363,833,1295304,1627,12953
2,8,20363,341,1244807,727,12448
2,8,20363,565,1039707,1206,10397
2,8,20363,565,1410803,1353,14108
2,8,20363,596,1119302,817,11193
2,8,20363,241,1039707,1617,10397
2,8,20363,241,1200704,636,12007
2,8,20363,604,1473003,1729,14730
2,45,20363,192,1039707,907,10397
2,45,20363,192,1086803,1049,10868
2,45,20363,942,1069302,2034,10693
2,45,20363,1097,1468305,744,14683
2,45,20363,503,1295106,553,12951
2,45,20363,152,1039707,1742,10397
2,45,20363,147,1039707,1021,10397
2,45,20363,147,1327702,1411,13277
2,45,20363,228,1348502,1518,13485
2,45,20363,228,1348702,1325,13487
2,45,20363,509,1143302,2006,11433
2,45,20363,232,1142307,1715,11423
2,45,20363,232,1348702,1514,13487
2,45,20363,363,1143302,1530,11433
2,45,20363,620,1039707,936,10397
2,45,20363,620,1323002,1156,13230
2,45,20363,282,1348702,939,13487
2,45,20363,363,1161206,824,11612
2,45,20363,229,1119302,1014,11193
2,45,20363,164,1039707,912,10397
2,45,20363,143,1020803,601,10208
2,45,20363,692,1013505,557,10135
2,45,20363,551,1039707,1621,10397
2,45,20363,213,1127805,1651,11278
2,45,20363,184,1082106,1835,10821
2,45,20363,377,1039707,1701,10397
2,45,20363,377,1232305,1840,12323
2,32,20363,152,1541205,830,15412
2,32,20363,433,1039707,1952,10397
2,32,20363,833,1245102,1454,12451
2,32,20363,887,1348702,1936,13487
2,32,20363,175,1120302,651,11203
2,32,20363,980,1348702,1116,13487
2,32,20363,300,1039707,2219,10397
2,32,20363,304,1039707,1451,10397
2,32,20363,304,1294503,1644,12945
2,32,20363,443,1143302,843,11433
2,32,20363,692,1039707,1743,10397
2,32,20363,565,1410803,549,14108
2,32,20363,321,1039707,1047,10397
2,32,20363,321,1473003,1253,14730
2,32,20363,622,1104205,1051,11042
2,32,20363,317,1039707,1030,10397
2,32,20363,717,1153705,605,11537
2,32,20363,273,1247805,2153,12478
2,32,20363,1214,1468305,1450,14683
